geo_point_2d;geo_shape;objectid_1;objectid;numero;nom;larg;sens;chauss;tunnel;shape_leng;niveau_route;code_statu;gestionn;statut_2;statut;shape_len
48.6458730207, 1.84277145109;"{""coordinates"": [[1.842387811319237, 48.64517247550947], [1.84315509086344, 48.64657356598794]], ""type"": ""LineString""}";5469;162300;127260;N10;3;D;1;0;165.70503099;0;503;Etat;Voie structurante SDRIF;nationale;165.705030988
49.0323431868, 1.57814025895;"{""coordinates"": [[1.576682492702457, 49.0323317318361], [1.578036116849879, 49.03235869517567], [1.579033988740636, 49.03233986908264], [1.579597686352787, 49.03231521518143]], ""type"": ""LineString""}";5477;162449;100703;A13A;2;D;1;0;213.34368125;0;500;Etat;Autoroute concédée;bretelle autoroute / voie rapide;213.343681249
48.6642892062, 1.83692579496;"{""coordinates"": [[1.836941294356427, 48.66473178575118], [1.836910295558743, 48.66384662674743]], ""type"": ""LineString""}";5480;162537;126903;N10;2;D;2;0;98.43527534;0;502;Etat;Voie structurante SDRIF;voie rapide;98.4352753369
48.9932797389, 2.08090978573;"{""coordinates"": [[2.080858412743086, 48.993848160675874], [2.080860484739982, 48.99377776925793], [2.0809179121327, 48.99324254741591], [2.080956528027091, 48.992710789966225]], ""type"": ""LineString""}";5489;162729;102907;N184;4;D;1;0;126.70302847;0;503;Etat;Voie rapide DIRIF;nationale;126.703028473
48.8927470854, 2.30218124128;"{""coordinates"": [[2.301098211068187, 48.89225058695371], [2.301267387592003, 48.89234902890213], [2.301929827005525, 48.892677997269196], [2.303295005905841, 48.89317454995145]], ""type"": ""LineString""}";3974;122220;535;P;2;>;1;0;191.66787164;0;500;Ville de Paris;;bretelle autoroute / voie rapide;191.667871632
48.8926788862, 2.39527941973;"{""coordinates"": [[2.395294883722542, 48.8921922867096], [2.39526395573832, 48.893165485638285]], ""type"": ""LineString""}";3975;122223;820;P;2;>;1;0;108.24216432;0;500;Ville de Paris;;bretelle autoroute / voie rapide;108.242164317
48.8331633111, 2.59422553531;"{""coordinates"": [[2.589898724506092, 48.83391528566571], [2.590311247366786, 48.83385441658737], [2.593008380790397, 48.83342724753139], [2.595987660420312, 48.832837474264224], [2.598537362176052, 48.83232707059915]], ""type"": ""LineString""}";3986;122545;67030;A4;3;D;2;0;658.5349348;0;501;Etat;Autoroute concédée;autoroute;658.534934797
48.7734741696, 2.6139773129;"{""coordinates"": [[2.613879726912584, 48.773494932977556], [2.614074898883347, 48.773453406151745]], ""type"": ""LineString""}";4001;122790;273507;N4;2;D;2;0;15.06819052;0;503;Etat;Voie rapide DIRIF;nationale;15.0681905234
49.0613552881, 2.70393643698;"{""coordinates"": [[2.703413256210463, 49.06075599103011], [2.704459617742667, 49.0619545852591]], ""type"": ""LineString""}";4474;136808;289233;N2;3;D;1;0;153.68137808;0;502;Etat;Voie rapide DIRIF;voie rapide;153.681378082
48.7994283552, 1.78102085422;"{""coordinates"": [[1.783577007542891, 48.79938975906084], [1.782975271572424, 48.7994104456276], [1.780486865402111, 48.79947084563008], [1.778465630401261, 48.79937244148806]], ""type"": ""LineString""}";4969;148663;999;N12;2;>;1;0;376.03814041;0;500;;;bretelle autoroute / voie rapide;376.038140404
