area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
28.275093;1109;39.22179849240461;0;0;28;1.0;0;77177.0
10.1506;1577;155.3602742695013;0;4;53;0.6666666666666666;0;78128.0
26.856572;870;32.39430557258015;0;3;26;0.0;201.39000553730978547.7871992338072568.5004308599641531.0155646849635174.90363645159522514.9503997882141520.799774112379430.537698196767930.55555555555555430.555555555555554271.5560795572572308.45469356077075;78506.0
11.634301;197;16.932688951403268;0;0;6;0.0;0;77158.0
11.896857;2778;233.50705148427016;0;3;80;0.8181818181818182;0;95566.0
2.629886;8699;3307.7479404050214;0;18;289;0.631578947368421;0;78092.0
19.661675;658;33.466121274001324;0;0;17;0.0;0;77020.0
10.2289055;7214;705.2562955049297;0;10;215;0.7777777777777778;71.0361177384866271.0361177384866221.27133261754266521.27133261754266513.8888888888888913.8888888888888936.93460562447186436.93460562447186411.03799864671998813.8888888888888911.23335025793669813.888888888888898.33333333333333413.888888888888898.33333333333333413.8888888888888961.8696128104788761.4148809389951938.5174102187628518.2466687600921319.22951835153274743.5541490727441143.5541490727441187.89883684829942129.4783843430162185.569581762515345.64228301664899680.1308271190272913.8645342828197813.88888888888889106.0448970173370981.59637161516225140.7877503883558740.8032122115765140.80321221157651190.3260966750279425.030.6778632066308630.67786320663086226.970697845962869.5520233420104669.55202334201046217.300886509788399.3496865774147499.34968657741474;77249.0
10.849096;8191;754.9937801269341;0;39;258;0.5;226.7890407379365750.6062414718762872.8369122374637879.4344096264608677.61115033978031113.8036201797292869.19283402193926291.16884415587447335.6396747100124635.4069353448125869.28560633463997138.99485232117905308.3774479610932149.8789601722728844.71146596153723;78322.0
7.2357555;27228;3762.9795534136;0;50;839;0.5555555555555556;44.68780214806202;94044.0
8.0107785;4394;548.5109842944727;0;39;479;0.2;0;78168.0
12.439055;95105;7645.677264068693;3;467;3230;0.3765182186234818;168.11897336129326147.5723465476623368.69302073551623139.03414657783568234.468553627529962.0063621537718651.000604087756216232.4813948441485385.49132966242006480.6374812819632354.52214608699862179.58333536183991189.26335283391057326.6759495263396261.82617871134084473.60941115428966176.63538659721533105.6420896027663322.22222222222222144.3955635859729250.5504268761906463.9243825094525995.591780443255950.10824840505211620.43589589583720654.7448043168490132.6259211162841888.8774837344162632.72769889867406222.68558269564528108.88383846146597105.081876685859532.04429471127574229.38815815996816124.69564222586521142.6758345226472204.6331059740961135.62604721352497176.41551004565392125.1921306207075460.075916662462966257.536762718258432.09622407804056447.69303643846533165.545025270604113.88888888888889127.1706844305891551.922878208257536213.4267462516341726.943248887901216101.13928717547843105.4685634585242231.41573665106439383.0067742690532116.808820289822161.1608696527250862.80801920915496239.2961263264679278.8647490508396252.8596548708322622.22222222222222182.71336614389864176.2050432117695170.93043512451132349.20888019817767;92050.0
7.649382;1201;157.00614768617908;0;2;52;0.0;0;78010.0
6.6299795;528;79.63825529173958;0;6;20;0.5;0;95271.0
3.810226;957;251.1662037894865;0;5;37;0.3333333333333333;0;95101.0
11.733827;1269;108.14885885056938;1;4;44;0.5;0;91599.0
10.2267815;21835;2135.080328058246;0;72;738;0.5;0;77152.0
6.530456;25669;3930.65966603251;4;57;799;0.47540983606557374;0;91114.0
1.5026805;25334;16859.205932332254;4;74;853;0.2923076923076923;0;94043.0
8.964247;590;65.81701731333374;0;1;18;1.0;0;78236.0
7.4667715;1963;262.89809457809173;0;4;61;0.5555555555555556;0;77241.0
3.250249;74;22.767486429501247;0;0;4;0.0;0;95144.0
3.5455865;9701;2736.0776559815986;0;26;347;0.7142857142857143;0;78190.0
6.0746735;62052;10214.869984370353;19;245;2437;0.3401360544217687;189.12409960838562;94041.0
13.564673;327;24.1067366681084;0;0;10;0.0;0;77110.0
20.7067745;557;26.899409176450924;0;0;20;0.6428571428571429;0;77164.0
4.687463;622;132.69438073431192;0;1;17;1.0;0;78281.0
11.8459575;640;54.026869503794856;0;1;22;0.0;106.7539174444183936.7732366688209666.71813141980158239.2366173340923515.0897464174054158.4666032053285246.104107137542966.42396421133863;78668.0
8.962061;226;25.21741371767052;0;1;5;0.0;0;77489.0
9.3298545;15577;1669.5865943032659;0;26;386;0.5094339622641509;0;78642.0
10.8071055;3566;329.9680936768869;1;11;154;0.6666666666666666;0;77257.0
5.2504055;26783;5101.129807973879;11;50;1165;0.36923076923076925;0;93047.0
3.1082085;208;66.91957762807739;0;0;13;0.0;0;95447.0
4.346218;3800;874.3233772443075;0;7;151;0.5428571428571428;0;91232.0
16.5980275;725;43.6798890711562;0;2;20;0.5;0;77045.0
10.2016715;607;59.500053496135415;3;0;16;1.0;0;78407.0
4.2364005;743;175.3847399460934;0;0;18;0.5;0;77248.0
